year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1989,Transfair,La Grande - Lac Bienville,Douglas C-47A,0,C-Fbzn,2,0,2,0,2,2,0,2,Canada,The cargo plane crashed after its initial climb. Icing.
1989,Aero Condor,Sightseeing,Britten Norman Bn-2A Trislander,0,Ob-T-1271,10,9,1,9,1,10,0,10,Peru,Crashed after striking radio tower while on approach.
1989,Air Ontario,Dryden - Winnipeg,Fokker F-28 Fellowship 1000,0,C-Fonf,69,65,4,21,3,24,0,24,Canada,"While flying from Thunder Bay, Ontario to Winnipeg, Manitoba, the plane crashed on take-off from Dryden, Ontario. The aircraft failed to gain altitude, settled back down on the runway and then took off for a second time clipping the tops of  trees, causing debris to clog the engines leading to the plane crashing. The aircraft was being refueled with one engine running because of an unserviceable APU. Since no external power unit was available at the airport the engine could not be shut down and deicing could not be performed. The captain's decision to take off  in deteriorating weather conditions with an accumulation of snow and ice on the wings.  Decision not to de-ice the plane before taking off. The failure of the Canadian air transport system in placing the crew in a situation where they did not have the resources to make a proper decision."
1989,Mid Pacific Air,Terre Haute - Lafayette,Namc Ys-11A-300F,0,N128Mp,2,0,2,0,2,2,0,2,United States,"While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps."
1989,Evergreen International Airlines,"Fort Worth, Tx - Oklahoma City, Ok",Mcdonnell Douglas Dc-9-33Rc,0,N931F,2,0,2,0,2,2,0,2,United States,"The loss of control of the airplane for undetermined reasons following the in-flight opening of the improperly latched cargo door. Contributing to the accident were inadequate procedures used by Evergreen Airlines and approved by the FAA for pre-flight verification of external cargo door lock pin manual control handle, and the failure of McDonnell Douglas to provide flight crew guidance and emergency procedures for an in-flight opening of the cargo door. Also contributing to the accident was the failure of the FAA to mandate modification to the door-open warning system for DC-9 cargo-configured airplanes, given the previously known occurrences of in-flight door openings."
1989,Transbrasil,Manaus - Sao Paulo-Guarulhos,Boeing B-707-349C,0,Pt-Tcs,3,0,3,0,3,3,18,21,Brazil,"The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie ""Airport"" in 1970."
1989,Europe Aero Service Eas,Paris - Valence,Fairchild Fh-227B,0,F-Ggdm,22,19,3,19,3,22,0,22,France,"After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain."
1989,Satena,Cucuta - Arauca,Pilatus Pc-6 Turbo Porter,0,Fac-1110,11,10,1,10,1,11,0,11,Colombia,Crashed while en route.
1989,Aerosucre Colombia,Baranquilla - Bogota,Aérospatiale Se-210 Caravelle,0,Hk-3325X,5,2,3,2,3,5,0,5,Colombia,"The cargo flight suffered the shifting of cargo after takeoff cause the plane to take a nose-high attitude, stall and crash into houses."
1989,Aero Cozumel,Chichen Itza - Cozumel,Britten Norman Bn-2A Trislander Ii,0,Xa-Jpe,19,17,2,6,0,6,0,6,Mexico,Crashed after the pilot radioed he was making an emergency landing with engine problems.
1989,Holmstoem Air,Stockholm - Oskarshamn,Beechcraft 99,0,Se-Izo,16,14,2,14,2,16,0,16,Sweden,"While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity."
1989,Surinam Airways,Paramaribo - Zanderij,Mcdonnell Douglas Dc-8 Super 62,0,N1809E,187,178,9,167,9,176,0,176,Suriname,"The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team ""Colorful 11"" from Surinam were killed."
1989,Aerotaca,El Yopal - Tame,De Havilland Canada Dhc-6 Twin Otter 300,0,Hk-2486,22,20,2,6,0,6,0,6,Colombia,Crashed into a mountain.
1989,Interflug,Berlin - Moscow,Ilyushin Il-62Mk,0,Ddr-Sew,113,103,10,20,0,20,1,21,Germany,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator."
1989,Ariana Afghan Airlines,Kabul - Zaranj,Antonov An-26,0,Ya-Bak,39,35,4,6,0,6,0,6,Iran,A ramp door opened in flight causing loss of control of the aircraft. The plane crashed into a hill.
1989,Fuerza Aérea Del Peru,San Ramon - Captain Alvarino,De Havilland Canada Dhc-5D Buffalo,0,Fap-329,62,57,5,57,5,62,0,62,Peru,Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.
1989,Formosa Airlines,Kaohsiung - Chi-Mei,Cessna 404 Titan Courier Ii,0,B-12206,13,11,2,10,2,12,1,13,Taiwan,Crashed into houses on takeoff and exploded.
1989,Cameroon Airlines,Douala - Yaounde,Hawker Siddeley Hs-748-435 Srs. 2,0,Tj-Ccf,47,45,2,1,2,3,0,3,Cameroon,"The plane landed short of the runway on the third landing attempt, overran the runway and collided with an embankment."
1989,Somali Airlines,Hargeisa - Mogadishu,Fokker F-27 Friendship 600Rf,0,6O-Saz,30,24,6,24,6,30,0,30,Somalia,Crashed after takeoff.  Shot down by a surface-to-air missile.
1989,Calair,"Carterville, Ga  - Montgomery, Al",Dassault Falcon 20,0,N125Ca,2,0,2,0,2,2,0,2,United States,"Unable to gain altitude the positioning flight struck powerlines and crashed. Failure of the pilot-in-command  to assure that the aircraft maintained a climb profile after takeoff. Factors related to the accident were: dark night, the crew's lack of visual perception at night, the PIC's lack of rest (fatigue) and the copilot's failure to attain remedial action."
1989,Air Taxi - Centre Airlines Inc.,"Baltimore, Md - Winchester, Va",Beech E18S,0,N138Jr,5,4,1,2,0,2,0,2,United States,"Shortly after departing from runway 15l at the Baltimore-Washington International Airport, the pilot transmitted that he had an emergency consisting of a fire under his side panel. He reported he was going to circle & land. According to witnesses, flames & smoke were in the cockpit area. The aircraft started a gradual descent during a left turn. Subsequently, it crashed into a house."
1989,Aeroflot,Observation Flight Out Of Cape Schmidt,Antonov An-26,0,Cccp-26685,10,6,4,6,4,10,0,10,USSR,Crashed into costal cliffs while on an ice observation flight.
1989,United Air Lines,"Denver, Co - Chicago, Il",Mcdonnell Douglas Dc-10-10,0,N1819U,298,287,11,111,1,112,0,112,United States,"Catastrophic failure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage. The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulic systems. The  failure was traced back to a manufacturing defect in the fan disk, which had microscopic cracks due to impurities. Subject of the 1992 TV-movie ""Crash Landing: The Rescue of Flight 232."""
1989,Talair,Porega-Port Moresby,De Havilland Canada Dhc-6 Twin Otter 300,0,P2-Rdw,22,20,2,1,2,3,0,3,New Guinea,Crashed into jungle shortly after taking off.
1989,Philippine Air Lines,Zamboanga - Manila,Bac One-Eleven 516Fp,0,Rp-C1193,98,91,7,1,0,1,8,9,Philippines,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars."
1989,Korean Airlines,Jeddah - Tripoli,Mcdonnell Douglas Dc-10-30,0,Hl-7328,199,181,18,72,3,75,4,79,Libya,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.
1989,Air Freight New Zealand,Auckland - Christchurch,Convair Cv-580,0,Zk-Ftb,3,0,3,0,3,3,0,3,New Zealand,The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.
1989,Olympic Aviation,Thessaloniki - Samos,Shorts 330-200,0,Sx-Bge,34,31,3,31,3,34,0,34,Greece,Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.
1989,Rrc Air Service,Addis Ababa - Bole,De Havilland Dhc-6 Twin Otter 300,0,Et-Ail,16,13,3,13,3,16,0,16,Ethiopia,"The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas ""Mickey"" Leland, 45, killed."
1989,Aspring Air,Wanaka - Milford Sound,Britten-Norman Bn-2A-26 Trislander,0,Zk-Evk,10,9,1,9,1,10,0,10,New Zealand,Crashed into the face of a mountain. Undetermined.
1989,Private,"Hattiesburg, Ms - Gulfport, Ms",Cessna 177Rg,0,N1976Q,2,1,1,1,1,2,0,2,United States,"The aircraft was flying from Hattiesburg to Gulfport. The non-instrument rated pilot lost control of the aircraft after encountering instrument meteorological conditions resulting in the airplane spiraling into the ground in a wooded area.  U.S. Representative from Mississippi, Larkin Smith, 45, was killed."
1989,China Eastern Airlines,Shanghai - Hongqiao,Antonov An-24Rv,0,B-3417,40,34,6,28,6,34,0,34,China,Lost power and crashed into a river shortly after taking off from Shanghai.
1989,Pakistan International Airlines,Gilgit - Islamabad - Chaklala,Fokker F-27 Friendship 200,0,Ap-Bbf,54,49,5,49,5,54,0,54,Pakistan,Crashed into Himalaya Mountains en route from Gilgit to Islamabad.
1989,Varig,Maraba - Belem,Boeing B-737-241,0,Pp-Vmk,54,48,6,13,0,13,0,13,Brazil,"A series of navigation errors led to the aircraft running out of fuel and crashing into the jungle. The crew was working with a filight plan that showed the course in tenths of a degree  instead of in the usual whole degrees. When the flight plan indicated 0270 degrees, the crew should have been flying at 027 degrees. Instead they flew at 270 degrees (west).Therefore, the crew flew in  the wrong direction, even though Belem was north of Maraba and the sun was setting right in front of them. Then they assumed they had overshot Belem and flew straight back east. Then they began following a river which they assumed was the Amazon which would lead them to Belem, but it was the Xingu river. Finally, they  tuned in a radio station and homed in on it assuming it was a Belem station, which it wasn't."
1989,Cubana De Aviacion,"Havana - Köln, Bonn",Ilyushin Il-62M,0,Cu-T1281,126,115,11,115,11,126,45,171,Cuba,The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision of the pilot in command  to fly after an abrupt deterioration in weather conditions.
1989,Partnair,Oslo - Hamburg,Convair Cv-580,0,Ln-Paa,55,50,5,50,5,55,0,55,Denmark,"The aircraft crashed into the sea after an in-flight breakup. Severe vibration caused by worn bolts causing the rudder to jam and the tail to collapse. Bolts used to attach the fin to the fuselage were found to be counterfeit and wore much faster that genuine bolts.  Official PC: The accident was caused by loss of control due to the destruction of primary control surfaces in the tail section, which, in turn, was caused by aeroelastic oscillations initiated by abnormal clearances in the vertical stabilizer attachments to the fuselage structure.The condition of the attachments was a result of excessive wear in pins and sleeves used in this structural joint. The pins and sleeves were of an inferior quality and did not satisfy specified values for hardness and tensile strength. They had also been installed and inspected using sub-standard maintenance procedures. Undamped oscillations in the elevator contributed to the structural failure of the empennage."""
1989,Wehite Cap Aviation,"Orlando, Fl - Mayfield, Ky",Beech King Air B100,0,N887Pe,6,5,1,5,1,6,0,6,United States,"Crashed into trees while attempting to land at night, in fog. Improper IFR procedures and failure to maintain minimum descent altitude."
1989,Merpati Nusantara Airlines,Manokwari - Bentuni,De Havilland Canada Dhc-6 Twin Otter 300,0,Pk-Nue,22,19,3,19,3,22,0,22,Indonesia,Crashed while making an approach to Bintuni.
1989,Union Des Transportes Aeriens,N'Djamena - Paris,Mcdonnell Douglas Dc-10-30,0,N54629,171,156,15,156,15,171,0,171,Niger,"While climbing through FL 350, 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamena was believed to have brought the bomb aboard."
1989,Usair,"New York City - Charlotte, Nc",Boeing B-737-401,0,N416Us,63,57,6,2,0,2,0,2,United States,"During an aborted takeoff,  the aircraft overran the runway, hit a wooden approach lighting pier and came to rest partially submerged in shallow water in Bowery Bay. The failure of the captain to exercise his authority in a timely manner to reject or continue the troubled takeoff which was initiated by a mistrimmed rudder."
1989,Vayudoot,Pune - Hyderabad,Dornier Do-288-201,0,Vt-Ejf,11,8,3,8,3,11,0,11,India,Exploded in mid-air and crashed during a thunderstorm and heavy rain.
1989,Skylink Airlines,Vancouver - Terrace,Swearingen Sa.227Ac Metro Iii,0,C-Gslb,7,5,2,5,2,7,0,7,Canada,"The plane struck trees, losing part of a wing after initiating a go-around. The crew continued with the approach beyond the missed approach point without establishing the required visual references."
1989,Grand Canyon Airlines,Grand Canyon National Park,De Havilland Canada Dhc-6 Twin Otter 300,0,N75Gc,21,19,2,8,2,10,0,10,United States,"The aircraft bounced and came down on its right wing tip while attempting to land. The controls were damaged and after an attempted go-around and reaching a height of 200 ft., the plane rolled to the left and crashed into trees on a hill. Improper pilot techniques and crew coordination during the landing attempt, bounce and attempted go-around."
1989,Map,Mukachevo - 	Moscow,Antonov An-32,0,Cccp-48095,9,4,5,4,5,9,0,9,Ukraine,Failure of the autopilot caused the plane to enter a spiral descent. Attempts to pull the plane out caused the aircraft to break-up in midair and crash into a swamp.
1989,Winchester Air,Uncertain - Destsin,Cessna 208 Caravan I,0,N208W,5,3,2,3,2,5,0,5,United States,"The aircraft took off, made a left turn and crashed into trees.  Improper planning and decision by the pilot-in-command and failure of the crew to maintain runway alignment and clearance from the high obstructions beside the runway. Contributing factors included weather conditions, dark night, lack of runway edge lights, lack of visual perception by the pilots and trees beside the runway."
1989,Air Taxi - Paramount Aviation Corp.,"New York, Ny - Atlantic City, Nj",Agusta A109A Mk Ii,0,N21Fl,5,4,1,4,1,5,0,5,United States,"In-flight separation of a main rotor blade of the helicopter due to fatigue failure of the main rotor blade spar, which originated at a manufacturing induced scratch (tool mark) that was the result of inadequate quality control."
1989,Tausa,Urpay-Uchiza,Cessna 402C Utililiner,0,Ob-T-1254,12,11,1,11,1,12,0,12,Peru,Crashed into mountain after takeoff.
1989,Aeroflot,Ul'Yanovsk - Leninakan,Ilyushin Il-76Td,0,Cccp-76466,15,10,5,10,5,15,0,15,Russia,Descended below minima and struck a mountain. Did not heed GPWS warnings. Incorrectly set altimeter.
1989,Tan,Managua - Tegucigalpa,Boeing B-727-224,0,N88705,146,138,8,123,4,127,0,127,Honduras,The aircraft landed short of the runway in heavy rain and high winds after returning to the airport. The crew did not follow the proper approach procedure.
1989,China Airlines (Taiwan),Hualien - Taipei,Boeing B-737-209,0,B-180,54,47,7,47,7,54,0,54,China,"The plane hit a 7,000 ft, mountain 10 minutes after taking off. The flight crew used an incorrect departure procedure."
1989,Aloha Island Air,"Kahului, Maui - Kaunakakai, Molokai",De Havilland Dhc-6 Twin Otter 300,0,N707Pv,20,18,2,18,2,20,0,20,United States,"The aircraft collided with terrain near Halawa Bay, Molokai, Hawaii, while en route on a scheduled passenger flight from the Kahalui Airport, Maui, to Kaunakakai Airport, Molokai. The decision of the captain to continue flight under visual flight rules at night into instrument meteorological conditions, which obscured rising mountainous terrain. The victims included eight members of Molokai High School's volleyball team and staff."
1989,Weasua Air Ttansport,Monrovia-Freetown,Britten-Norman Bn-2A Islander,0,9L-Lav,10,9,1,1,1,2,0,2,Liberia,Crashed on a beach following engine failure.
1989,Military - Royal Lesotho Defence Force,Qacha?S-  Nek-Maseru,Casa 212 Aviocar,0,Ldf-46,18,16,2,16,2,18,0,18,Lesotho,Hit a mountain.
1989,Aeroflot,Perm - Sovietsky,Antonov An-24,0,Cccp-46335,42,36,6,28,6,34,0,34,Russia,The plane collided with  trees 180 m from the Inner Marker.  Weather was below minima with a 80 m cloud base and 2000 m visibility in haze and snow.
1989,Korean Airlines,Seou - Ulsan,Fokker F-28 Fellowship 4000,0,Hl-7255,52,46,6,1,0,1,0,1,South Korea,"The plane crashed during takeoff after losing the left engine, directional control and overrunning the runway and catching fire."
1989,Avianca,Bogota - Cali,Boeing B-727-21,0,Hk-1803,107,101,6,101,6,107,3,110,Colombia,The plane burst into flames and crashed shortly after taking off from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.
1989,Tepper Aviation,Kamina - Jamba,Lockheed L-100-20 Hercules,0,N9205T,5,0,5,0,5,5,0,5,Angola,Crashed while landing.
1989,Lineas Aéreas Cave,Canaima - Ciudad Guayana -Charallave,Cessna 402,0,Yv-478C,7,5,2,1,2,3,0,3,Venezuela,"The aircraft was making a night, VOR instrument approach to Runway 28.  Visual meteorological conditions prevailed, except for some parts of the airport which were obscured by low cloud.  Approaching Runway 28, the aircraft was too high to land and the pilot chose instead to enter a right downwind to land on Runway 10.  At approximately 400 feet above ground level on final for Runway 10, the aircraft entered some clouds, the base of which were reported by the tower operator to be at 10 meters.  The aircraft continued its descent, initially striking some trees about 400 feet short of the runway, then shearing off one of the main landing gear on a hillside road about 200 feet prior to the runway.  The aircraft, under full power and nose up, began to climb, but rolled inverted and crashed at the threshold of Runway 10.  The wing fuel tanks were ruptured and the fuselage, trailing fire, slid across the runway and stopped on the parallel taxiway.  A fire ensued and airport fire and rescue crews put out the fire within 10 minutes.  Both pilots and one passenger were killed by impact and the remaining four passengers were taken to the hospital with moderate injuries.  The primary cause of the accident was the pilot's decision to descend without visual reference to the surface.  A contributing factor was the negative affect on crew performance that resulted from not using oxygen at 12,000 feet during the flight from Ciudad Guayana."
1989,New England Airlines,"Block Island, Ri - Westerly, Ri",Britten-Norman Bn-2A Islander,0,N127Jl,8,7,1,7,1,8,0,8,United States,Crashed into the sea 4 miles Northwest of the Island. Unknown cause. There was sever turbulence and windshear in the area.
1989,Military - U.S. Army,Fort Belvoir - Patuxent River Nas,Casa 212 Aviocar 200,0,N296Ca,5,0,5,0,5,5,0,5,United States,"The crew inadvertently selected ""Beta Range"" on the propellers at 800 feet. The aircraft then stalled and crashed into the river."
1989,United Express,Yakima - Pasco,British Aerospace 3101 Jetstream 31,0,N410Ue,6,4,2,4,2,6,0,6,United States,"The aircraft was observed sinking fast while attempting to land at Pasco. The aircraft suddenly nosed over and crashed short of the runway. The crew's decision to continue an unstabilized instrument landing system approach that led to a stall, most likely of the horizontal stabilizer, and loss of control at low altitude. Contributing to the accident was the air traffic controller's improper vectors that positioned the aircraft inside the outer marker while it was still well above the glideslope. Contributing to the stall and loss of control was the accumulation of airframe ice that degraded the aerodynamic performance of the airplane."
1989,Tarom,Bicharest - Beogard,Antonov An-24Rv,0,Yr-Bmj,7,1,6,1,6,7,0,7,Romania,Crashed in poor weather conditions. Rumors suggest the plane was shot down.
1990,Pelita Air Service,Palambang And Jakarta,Casa 212 Aviocar 200,0,Pk-Pcm,16,13,3,7,2,9,0,9,Indonesia,Ditched into the Java Sea after experiencing mechanical problems with the right engine and being unable to maintain altitude. The crew shut down the engine and feathered the propeller but could not maintain altitude despite jettisoning luggage out of the aircraft.
1990,Aeroflot,Tyumen - Ufa,Tupolev Tu-134A,0,Cccp-65951,71,65,6,23,4,27,0,27,Russia,A fire in the rear cargo hold and fire warning in both engines forced the plane to crash land in a snow laden field. The plane broke up after striking irrigation equipment. Short circuit in the electrical wiring.
1990,Sansa,San Jose - Palmar Sur,Casa 212 Aviocar 200,0,Ti-Sab,23,20,3,20,3,23,0,23,Costa Rica,"Crashed about 4,500 feet up on 7,250 ft. Pico Blanco Mountain, 10 miles southwest of San Jose, five minutes after taking off in a driving rainstorm. Continued VFR flight into IFR condtions.  The aircraft was not  equipped with a GWPS."
1990,Federal Express,Denver - Montrose,Cessna 208A Caravan I Cargomaster,0,N835Fe,1,0,1,0,1,1,0,1,United States,"The cargo plane crashed into a 14,200 ft. Mount Massive 50 feet below the summit  while en route. Diversion of the pilot's attention, resulting in an in flight collision with terrain during normal cruise flight."
1990,Military - Venezuelan Navy,Caracas - Puerto Ayancucho,Casa 212-200 Aviocar,0,Arv-0210,25,22,3,22,3,25,0,25,Venezuela,"Crashed into El Junquito Hill 5 minutes after taking off and burned. Most likely cause was reduced visibility, rain and low overcast."
1990,Airfast Services,Ujung Pandang - Selaparang,Hawker Siddeley Hs-748-2A,0,Pk-Obw,19,16,3,16,3,19,0,19,Indonesia,"Crashed into Mt. Ringani after being diverted en route to Denpasair, Bali, due to bad weather."
1990,Avianca,Medellin - New York City,Boeing B-707-321B,0,Hk 2016,158,149,9,65,8,73,0,73,United States,"The aircraft was put in a series of extended holding patterns as it approached New York.The crew informed ATC they were running out of fuel but did not declare an emergency and were cleared to land. After a missed approach and during  a go-around, the plane ran out of fuel and crashed in a wooded area. The captain speaking very little English and communicating through the first officer, at no time declared an emergency. The first officer used the term ""we need priority"" several times, rather than declaring an emergency. The ATC did not realize the peril of the aircraft. Failure of the crew to properly communicate the emergency situation to the ATC. Although blame was placed squarely on the crew there are several reasons why ATC should have  taken some responsibility for the accident. ATC was trying to land too many planes at once given the weather and number of missed approaches and aborted landing that were taking place. The plane was put in an extended holding pattern on three different occasions. The crew was not told of wind shear below 500 ft. which led to the aborted landing attempt. The plane was passed between three different controllers as it came out of its holding pattern to land. Each time the crew had to repeat their fuel situation.  The crew did say ""we are running out of fuel"" numerous times only to be taken on a wide circling pattern after the first attempt at landing was aborted. Although the major blame was placed on the crew, in the end, the FAA paid 40% of compensations to the passenger's families."
1990,Miat - Mongolian Airlines,Ulan Bator - Uliastaj,Antonov An-26V,0,Bnmau-10208,30,25,5,25,5,30,0,30,Mongolia,The Antonov crashed after failing to find the destination airport at night.
1990,Military - Congolese Air Force,Pointe-Noire - Brazzaville,Nord 262C-66,0,Tn-230,28,23,5,23,5,28,0,28,Congo,Rain and high winds caused the aircraft to crash 50 miles from it's destination of Brazzaville.
1990,Airborne Express,"Burlington, Vt - Albany, Ny",Cessna 208B Caravan I,0,N4688B,2,1,1,1,1,2,0,2,United States,"In light snow, the cargo plane was unable to gain altitude and crashed into trees. The failure of the pilot to de-ice the airplane prior to departure, and his decision to make the takeoff at a weight that exceeded both the maximum structural takeoff weight and the reduced takeoff weight allowed for icing conditions resulting in an inadvertent stall."
1990,Wiggins Airways,Plattsburgh - Syracuse,Cessna 208B Caravan I Super Cargomaster,0,N854Fe,1,0,1,0,1,1,0,1,United States,"The cargo plane took off at night in snow was unable to gain altitude, make a steep descent and crashed into trees. Loss of control in-flight after the airplane stalled during climbout. The stall resulted from a loss of lift due to a contaminated wing surface. Contributing to the accident was the failure of the pilot to de-ice the aircraft prior to departure."
1990,Helicopteros Nacionales De Colombia,Bogota Via Neiva - Ibague,Grumman G-159 Gulfstream I,0,Hk-3315X,15,11,4,11,4,15,0,15,Colombia,"Struck Mt. El Saluda at 5,000 ft., near Image, after announcing a go-around with intentions of diverting to their alternate."
1990,Tam (Brazil),San Palo - Bauru - Aracatuba,Fokker 27 Friendship 200,0,Pt-Lcg,40,36,4,1,1,2,2,4,Brazil,"Crashed after an aborted landing following landing  too fast and 2/3rds down the runway. The pilot attempted a go-around, became airborne but stalled and crashed into houses and a car killing two people."
1990,Indian Airlines,Bombay - Bangalore,Airbus A320-231,0,Vt-Epn,146,139,7,87,5,92,0,92,India,"On final approach, the aircraft descended below the normal approach profile until it hit the ground 2,300 ft. short and 200 ft. to the right of the runway centerline. The co-pilot's (in this case check captain's) flight director was left in the Open Descent Idle Mode instead of the Vertical Speed Mode, the prescribed setting for an approach and landing.The aircraft could not maintain the correct flight path at idle power. Failure of the crew to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs."
1990,Military - Zambian Air Force,M'Bala - Likouala,Dhc-5 Buffalo,0,Af316,29,24,5,24,5,29,0,29,Zambia,Suddenly dove into a field as it prepared to land at Likouala.
1990,Federal Express,Aspen - Denver,Cessna 208A Caravan I Cargomaster,0,N820Fe,1,0,1,0,1,1,0,1,United States,"While on an ILS approach, the cargo plane encountered icing conditions. Subsequently it entered a steep descent and crashed short of the runway. The accumulation of structural ice and subsequent stalling of the aircraft. The icing condition was a related factor."
1990,Tan Honduras,San Pedro - Tegucigalpa,Lockheed L-188Cf Electra,0,Hr-Tnl,3,0,3,0,3,3,0,3,Honduras,"The cargo plane descended below the minimum safe altitude and struck a 7,000 mountain in poor weather."
1990,Cubana De Aviacion,Santiago De Cuba-La Havane,Antonov An-26,0,Cu-T1436,46,41,5,4,0,4,0,4,Cuba,"During takeoff, close to V1 the takeoff was aborted. The aircraft overran the runway and crashed."
1990,Aeroflot,Kokand - Kabul,Ilyushin Il-76Md,0,Cccp-78781,11,2,9,2,9,11,0,11,Afghanistan,The cargo plane stalled while on final and crashed while on approach after being ordered by ATC to discontinue the approach. Pilot error.
1990,Military - Angolan Air Force,Kuito-Huambo,Casa 212 Aviocar 300,0,T-410,25,20,5,20,5,25,0,25,Angola,Shot down with a missile fired by UNITA rebels.
1990,Wideroe'S Flyveselksap,Vaeroy - Bodo,De Havilland Canada Dhc-6 Twin Otter 300,0,Ln-Bns,5,3,2,3,2,5,0,5,Norway,Control of the aircraft was lost when the push-pull rod to the elevator failed in heavy turbulence. The plane crashed into the sea.
1990,Aeroperlas,Panama City-Contadora-San Miguel,De Havilland Canada Dhc-6 Twin Otter 200,0,N187As,22,19,3,17,3,20,0,20,Panama,"Shortly after taking off, the plane crashed into the ocean three miles south of the Panamanian island of Contadora after experiencing problems with the No. 2 engine leading to loss of altitude and control of the aircraft. The engine failure was caused by bird ingestion."
1990,Mats - Manila Aero Transport System,Manila - Roxaz City,Douglas Dc-3 (C-47A-30-Dk),0,Rp-C81,24,22,2,7,0,7,0,7,Philippines,"The plane crashed into a rice field after an engine failed during a landing attempt and the plane attempted to take off again, crashing outside of the airport boundary."
1990,Frontier Air,"Timmins, Ontario - Ship Sands Island, Ontario",Beechcraft C99,0,C-Fgaw,4,2,2,0,1,1,0,1,Canada,While on VOR approach the aircraft flew into the ground.
1990,Military - Royal Air Force,Timmins - Moosonee,Avro Shackleton Aew-2,0,Wr965,10,0,10,0,10,10,0,10,United Kingdom,Crashed into a mountain in poor weather while en route.
1990,Aerial Transit Company,Guatamala City - La Aurora,Douglas Dc-6Bf,0,N84Bl,3,0,3,0,3,3,24,27,Guatemala,The aircraft experienced engine failure on takeoff at about V2 and crashed into houses 8 km SE of the airport.
1990,Avicsa,Tapachula - Tuxtla-Gutierrez,Fairchild F-27,0,F-Ghxa,40,35,5,15,5,20,0,20,Mexico,"Crashed 3  miles short of the runway on approach, striking trees. The accident was attributed to a lack of coordination between the crew during the approach and their lack of experience on the type of aircraft."
1990,Philippine Air Lines,Manila - Iloilo,Boeing B-737-3Y0,0,Ei-Bzg,119,113,6,8,0,8,0,8,Philippines,There was an explosion in the center fuel tank while the aircraft was being pushed back for flight. Ignition of vapors in the empty center tank probably resulted from faulty wiring. Several causes have been presumed including chafed insulation on the wiring for the center fuel tank float level switch and damaged insulation on the wiring of the nearby wing anti-ice valve.
1990,Aerolift Philippines,Manila - Surigao City,Beechcraft 1900C-1,0,Rp-C314,21,19,2,19,2,21,4,25,Philippines,"Crashed shortly after taking off. The aircraft never gained more than 400 feet in altitude and crashed into houses killing four people. Failure of the right engine, after which, the pilot  made an immediate right turn, stalled the aircraft and crashed. Failure to maintain adequate flying speed and altitude due to the pilot's inability to properly perform the specified emergency procedures following a malfunction of the right engine immediately after take off. Failure of the engine."
